DATE,DAY_NUMBERS,N11D,GPRD_RAW,GPRD_THREAT_RAW,GPRD_ACT_RAW,GPRD_SHARE,GPRD_THREAT_SHARE,GPRD_ACT_SHARE,GPRD*,GPRD_THREAT,GPRD_ACT,EVENT,*value of the index on the day the newspaper was published
19850101,1985,822,6,4,2,0.73%,0.49%,0.24%,142,113,266,,"For instance, GPR_DAILY spikes on September 12, 2001, one day after 9/11"
19850102,1985.002738,891,3,2,1,0.34%,0.22%,0.11%,65,52,123,,
19850103,1985.005476,1300,3,3,0,0.23%,0.23%,0.00%,45,53,0,,
19850104,1985.008214,1287,9,6,3,0.70%,0.47%,0.23%,136,108,255,,
19850105,1985.010951,897,3,2,1,0.33%,0.22%,0.11%,65,52,122,,
19850106,1985.013689,1230,8,7,1,0.65%,0.57%,0.08%,126,132,89,,
19850107,1985.016427,1056,4,3,1,0.38%,0.28%,0.09%,74,66,104,,
19850108,1985.019165,1265,6,6,0,0.47%,0.47%,0.00%,92,110,0,,
19850109,1985.021903,1297,7,7,0,0.54%,0.54%,0.00%,105,125,0,,
19850110,1985.024641,1524,6,6,0,0.39%,0.39%,0.00%,76,91,0,,
19850111,1985.027379,1364,2,2,0,0.15%,0.15%,0.00%,28,34,0,,
19850112,1985.030116,912,3,3,0,0.33%,0.33%,0.00%,64,76,0,,
19850113,1985.032854,1285,2,2,0,0.16%,0.16%,0.00%,30,36,0,,
19850114,1985.035592,1043,3,3,0,0.29%,0.29%,0.00%,56,67,0,,
19850115,1985.03833,1232,3,3,0,0.24%,0.24%,0.00%,47,56,0,,
19850116,1985.041068,1378,5,4,1,0.36%,0.29%,0.07%,70,67,79,,
19850117,1985.043806,1573,5,5,0,0.32%,0.32%,0.00%,62,74,0,,
19850118,1985.046543,1389,4,3,1,0.29%,0.22%,0.07%,56,50,79,,
19850119,1985.049281,990,3,3,0,0.30%,0.30%,0.00%,59,70,0,,
19850120,1985.052019,1224,5,5,0,0.41%,0.41%,0.00%,79,95,0,,
19850121,1985.054757,1037,5,5,1,0.48%,0.48%,0.10%,94,112,105,,
19850122,1985.057495,1242,5,4,1,0.40%,0.32%,0.08%,78,75,88,,
19850123,1985.060233,1347,6,5,1,0.45%,0.37%,0.07%,86,86,81,,
19850124,1985.062971,1544,3,3,0,0.19%,0.19%,0.00%,38,45,0,,
19850125,1985.065708,1511,4,4,0,0.26%,0.26%,0.00%,51,61,0,,
19850126,1985.068446,1044,2,1,1,0.19%,0.10%,0.10%,37,22,105,,
19850127,1985.071184,1295,5,5,0,0.39%,0.39%,0.00%,75,89,0,,
19850128,1985.073922,1096,6,4,2,0.55%,0.36%,0.18%,106,84,200,,
19850129,1985.07666,1275,4,3,1,0.31%,0.24%,0.08%,61,54,86,,
19850130,1985.079398,1392,5,5,0,0.36%,0.36%,0.00%,70,83,0,,
19850131,1985.082136,1428,6,6,0,0.42%,0.42%,0.00%,82,97,0,,
19850201,1985.084873,1431,9,9,0,0.63%,0.63%,0.00%,122,146,0,,
19850202,1985.087611,1070,5,5,0,0.47%,0.47%,0.00%,91,108,0,,
19850203,1985.090349,1283,7,7,0,0.55%,0.55%,0.00%,106,126,0,,
19850204,1985.093087,1042,4,4,1,0.38%,0.38%,0.10%,75,89,105,,
19850205,1985.095825,1238,3,2,1,0.24%,0.16%,0.08%,47,37,88,,
19850206,1985.098563,1376,10,9,1,0.73%,0.65%,0.07%,141,151,79,,
19850207,1985.1013,1570,10,10,0,0.64%,0.64%,0.00%,124,147,0,,
19850208,1985.104038,1361,7,3,4,0.51%,0.22%,0.29%,100,51,321,,
19850209,1985.106776,1056,6,5,1,0.57%,0.47%,0.09%,110,110,104,,
19850210,1985.109514,1305,7,6,1,0.54%,0.46%,0.08%,104,106,84,,
19850211,1985.112252,1055,12,8,4,1.14%,0.76%,0.38%,221,175,415,,
19850212,1985.11499,1295,9,8,1,0.69%,0.62%,0.08%,135,143,84,,
19850213,1985.117728,1392,7,7,0,0.50%,0.50%,0.00%,98,116,0,,
19850214,1985.120465,1591,3,3,0,0.19%,0.19%,0.00%,37,44,0,,
19850215,1985.123203,1433,7,6,1,0.49%,0.42%,0.07%,95,97,76,,
19850216,1985.125941,979,1,1,0,0.10%,0.10%,0.00%,20,24,0,,
19850217,1985.128679,1218,6,5,1,0.49%,0.41%,0.08%,96,95,90,,
19850218,1985.131417,801,3,3,0,0.37%,0.37%,0.00%,73,87,0,,
19850219,1985.134155,1102,8,8,0,0.73%,0.73%,0.00%,141,168,0,,
19850220,1985.136893,1224,4,3,1,0.33%,0.25%,0.08%,63,57,89,,
19850221,1985.13963,1536,3,3,0,0.20%,0.20%,0.00%,38,45,0,,
19850222,1985.142368,1447,8,8,0,0.55%,0.55%,0.00%,107,128,0,,
19850223,1985.145106,1018,6,6,0,0.59%,0.59%,0.00%,114,136,0,,
19850224,1985.147844,1259,3,3,0,0.24%,0.24%,0.00%,46,55,0,,
19850225,1985.150582,1074,4,4,0,0.37%,0.37%,0.00%,72,86,0,,
19850226,1985.15332,1158,7,7,0,0.60%,0.60%,0.00%,117,140,0,,
19850227,1985.156057,1487,3,2,1,0.20%,0.13%,0.07%,39,31,74,,
19850228,1985.158795,1570,9,9,0,0.57%,0.57%,0.00%,111,133,0,,
19850301,1985.161533,1377,3,3,0,0.22%,0.22%,0.00%,42,50,0,,
19850302,1985.164271,970,3,3,0,0.31%,0.31%,0.00%,60,72,0,,
19850303,1985.167009,1245,7,7,0,0.56%,0.56%,0.00%,109,130,0,,
19850304,1985.169747,1068,4,4,0,0.37%,0.37%,0.00%,73,87,0,,
19850305,1985.172485,1273,13,13,0,1.02%,1.02%,0.00%,198,236,0,: Soviets warn Bonn on Space-Based Arms,
19850306,1985.175222,1338,9,6,3,0.67%,0.45%,0.22%,131,104,245,,
19850307,1985.17796,1556,3,2,1,0.19%,0.13%,0.06%,37,30,70,,
19850308,1985.180698,1353,5,4,1,0.37%,0.30%,0.07%,72,68,81,,
19850309,1985.183436,938,6,5,1,0.64%,0.53%,0.11%,124,123,117,,
19850310,1985.186174,1340,16,14,2,1.19%,1.04%,0.15%,232,242,163,,
19850311,1985.188912,1084,9,6,3,0.83%,0.55%,0.28%,161,128,303,,
19850312,1985.19165,1308,7,7,1,0.54%,0.54%,0.08%,104,124,84,,
19850313,1985.194387,1304,5,3,2,0.38%,0.23%,0.15%,74,53,168,,
19850314,1985.197125,1650,9,3,6,0.55%,0.18%,0.36%,106,42,398,,
19850315,1985.199863,1405,8,7,1,0.57%,0.50%,0.07%,111,115,78,,
19850316,1985.202601,964,12,11,1,1.24%,1.14%,0.10%,242,264,113,,
19850317,1985.205339,1315,8,7,1,0.61%,0.53%,0.08%,118,123,83,,
19850318,1985.208077,1095,9,6,4,0.82%,0.55%,0.37%,160,127,400,,
19850319,1985.210815,1313,4,2,2,0.30%,0.15%,0.15%,59,35,167,,
19850320,1985.213552,1428,3,3,0,0.21%,0.21%,0.00%,41,49,0,,
19850321,1985.21629,1423,5,4,1,0.35%,0.28%,0.07%,68,65,77,,
19850322,1985.219028,1395,2,2,0,0.14%,0.14%,0.00%,28,33,0,,
19850323,1985.221766,953,6,5,1,0.63%,0.52%,0.10%,122,121,115,,
19850324,1985.224504,1299,5,5,0,0.38%,0.38%,0.00%,75,89,0,,
19850325,1985.227242,1111,2,1,1,0.18%,0.09%,0.09%,35,21,98,,
19850326,1985.229979,1287,5,4,1,0.39%,0.31%,0.08%,75,72,85,,
19850327,1985.232717,1483,5,4,1,0.34%,0.27%,0.07%,65,62,74,,
19850328,1985.235455,1526,4,2,2,0.26%,0.13%,0.13%,51,30,143,,
19850329,1985.238193,1461,5,4,1,0.34%,0.27%,0.07%,66,63,75,,
19850330,1985.240931,967,5,4,1,0.52%,0.41%,0.10%,100,96,113,,
19850331,1985.243669,1234,4,3,1,0.32%,0.24%,0.08%,63,56,89,,
19850401,1985.246407,1116,5,4,1,0.45%,0.36%,0.09%,87,83,98,,
19850402,1985.249144,1451,13,10,4,0.90%,0.69%,0.28%,174,159,302,,
19850403,1985.251882,1519,8,6,2,0.53%,0.39%,0.13%,102,91,144,,
19850404,1985.25462,1623,4,3,1,0.25%,0.18%,0.06%,48,43,67,,
19850405,1985.257358,1386,2,2,0,0.14%,0.14%,0.00%,28,33,0,,
