Date,GPRD
1/1/10,148
1/2/10,133
1/3/10,173
1/4/10,178
1/5/10,221
1/6/10,108
1/7/10,90
1/8/10,169
1/9/10,22
1/10/10,54
1/11/10,50
1/12/10,64
1/13/10,187
1/14/10,76
1/15/10,78
1/16/10,111
1/17/10,36
1/18/10,93
1/19/10,50
1/20/10,70
1/21/10,87
1/22/10,59
1/23/10,80
1/24/10,37
1/25/10,124
1/26/10,74
1/27/10,76
1/28/10,92
1/29/10,58
1/30/10,141
1/31/10,73
2/1/10,99
2/2/10,17
2/3/10,68
2/4/10,35
2/5/10,76
2/6/10,56
2/7/10,74
2/8/10,63
2/9/10,42
2/10/10,75
2/11/10,58
2/12/10,44
2/13/10,41
2/14/10,32
2/15/10,44
2/16/10,154
2/17/10,54
2/18/10,41
2/19/10,28
2/20/10,24
2/21/10,67
2/22/10,86
2/23/10,61
2/24/10,138
2/25/10,92
2/26/10,41
2/27/10,40
2/28/10,33
3/1/10,42
3/2/10,57
3/3/10,31
3/4/10,36
3/5/10,96
3/6/10,43
3/7/10,73
3/8/10,17
3/9/10,34
3/10/10,23
3/11/10,37
3/12/10,50
3/13/10,12
3/14/10,34
3/15/10,41
3/16/10,34
3/17/10,87
3/18/10,68
3/19/10,21
3/20/10,23
3/21/10,72
3/22/10,54
3/23/10,0
3/24/10,39
3/25/10,64
3/26/10,41
3/27/10,76
3/28/10,44
3/29/10,68
3/30/10,56
3/31/10,31
4/1/10,65
4/2/10,48
4/3/10,40
4/4/10,40
4/5/10,93
4/6/10,38
4/7/10,118
4/8/10,51
4/9/10,60
4/10/10,13
4/11/10,86
4/12/10,72
4/13/10,103
4/14/10,69
4/15/10,23
4/16/10,43
4/17/10,25
4/18/10,35
4/19/10,37
4/20/10,49
4/21/10,108
4/22/10,74
4/23/10,92
4/24/10,18
4/25/10,18
4/26/10,53
4/27/10,50
4/28/10,31
4/29/10,66
4/30/10,50
5/1/10,42
5/2/10,34
5/3/10,55
5/4/10,86
5/5/10,55
5/6/10,96
5/7/10,81
5/8/10,29
5/9/10,73
5/10/10,63
5/11/10,42
5/12/10,16
5/13/10,62
5/14/10,72
5/15/10,60
5/16/10,19
5/17/10,48
5/18/10,68
5/19/10,78
5/20/10,61
5/21/10,67
5/22/10,63
5/23/10,89
5/24/10,48
5/25/10,107
5/26/10,159
5/27/10,73
5/28/10,52
5/29/10,62
5/30/10,36
5/31/10,50
6/1/10,86
6/2/10,93
6/3/10,38
6/4/10,37
6/5/10,74
6/6/10,36
6/7/10,18
6/8/10,80
6/9/10,37
6/10/10,22
6/11/10,93
6/12/10,31
6/13/10,110
6/14/10,27
6/15/10,43
6/16/10,100
6/17/10,45
6/18/10,75
6/19/10,32
6/20/10,37
6/21/10,9
6/22/10,59
6/23/10,59
6/24/10,38
6/25/10,104
6/26/10,51
6/27/10,101
6/28/10,68
6/29/10,34
6/30/10,33
7/1/10,46
7/2/10,39
7/3/10,45
7/4/10,20
7/5/10,32
7/6/10,115
7/7/10,69
7/8/10,89
7/9/10,24
7/10/10,13
7/11/10,58
7/12/10,41
7/13/10,85
7/14/10,58
7/15/10,72
7/16/10,56
7/17/10,26
7/18/10,121
7/19/10,58
7/20/10,72
7/21/10,126
7/22/10,73
7/23/10,30
7/24/10,20
7/25/10,19
7/26/10,115
7/27/10,116
7/28/10,91
7/29/10,32
7/30/10,23
7/31/10,27
8/1/10,104
8/2/10,70
8/3/10,47
8/4/10,17
8/5/10,48
8/6/10,25
8/7/10,27
8/8/10,21
8/9/10,20
8/10/10,64
8/11/10,43
8/12/10,9
8/13/10,32
8/14/10,26
8/15/10,63
8/16/10,49
8/17/10,9
8/18/10,44
8/19/10,59
8/20/10,8
8/21/10,40
8/22/10,93
8/23/10,70
8/24/10,28
8/25/10,34
8/26/10,41
8/27/10,64
8/28/10,67
8/29/10,40
8/30/10,91
8/31/10,78
9/1/10,71
9/2/10,84
9/3/10,61
9/4/10,38
9/5/10,41
9/6/10,33
9/7/10,0
9/8/10,60
9/9/10,23
9/10/10,60
9/11/10,42
9/12/10,34
9/13/10,28
9/14/10,51
9/15/10,24
9/16/10,78
9/17/10,87
9/18/10,72
9/19/10,20
9/20/10,92
9/21/10,126
9/22/10,68
9/23/10,47
9/24/10,144
9/25/10,113
9/26/10,95
9/27/10,100
9/28/10,35
9/29/10,80
9/30/10,45
10/1/10,103
10/2/10,47
10/3/10,52
10/4/10,186
10/5/10,142
10/6/10,49
10/7/10,95
10/8/10,106
10/9/10,50
10/10/10,82
10/11/10,73
10/12/10,89
10/13/10,56
10/14/10,35
10/15/10,91
10/16/10,6
10/17/10,18
10/18/10,90
10/19/10,43
10/20/10,64
10/21/10,65
10/22/10,50
10/23/10,24
10/24/10,18
10/25/10,36
10/26/10,51
10/27/10,25
10/28/10,80
10/29/10,73
10/30/10,134
10/31/10,86
11/1/10,61
11/2/10,206
11/3/10,55
11/4/10,87
11/5/10,75
11/6/10,53
11/7/10,69
11/8/10,37
11/9/10,132
11/10/10,33
11/11/10,77
11/12/10,67
11/13/10,28
